iter	RMSE
0	1.386111466
1	1.249483332
2	1.16109078
3	1.098118155
4	1.057564053
5	1.031502829
6	1.013363943
7	0.9960033325
8	0.9859631167
9	0.9769850342
10	0.9714372761
11	0.9664136966
12	0.9626544341
13	0.9589790728
14	0.9548892566
15	0.9505707504
16	0.947555192
17	0.9450410178
18	0.9424756363
19	0.9406790341
20	0.9387214714
21	0.9370718735
22	0.9350314406
23	0.9332080611
24	0.9320149292
25	0.9303900113
26	0.9285111641
27	0.9266436166
28	0.9255601999
29	0.9241699452
30	0.9224495926
31	0.9217471671
32	0.9204688934
33	0.9196251932
34	0.918399035
35	0.916997029
36	0.9165126351
37	0.9153889628
38	0.9139814023
39	0.9132330756
40	0.9124865202
41	0.9116521202
42	0.910796746
43	0.9097572877
44	0.9090377589
45	0.9078963806
46	0.9071941072
47	0.9063329448
48	0.905612886
49	0.9049843305
50	0.9040607688
51	0.9030778631
52	0.9022573007
53	0.9017915476
54	0.9011109326
55	0.9001203189
56	0.8992023585
57	0.8982547472
58	0.8976165025
59	0.896944247
60	0.896345041
61	0.8954505601
62	0.8947756748
63	0.8938218989
64	0.8929686618
65	0.89263214
66	0.891845899
67	0.8911404102
68	0.8904145821
69	0.8903084695
70	0.8895589072
71	0.8882941861
72	0.887954579
73	0.8874543263
74	0.8868413476
75	0.8863148476
76	0.8855245308
77	0.8850541174
78	0.8843949265
79	0.8843448261
80	0.884308658
81	0.8839434056
82	0.8836529541
83	0.8833782576
84	0.8829495375
85	0.8825519666
86	0.8820735864
87	0.8815634388
88	0.8815336458
89	0.8809584246
90	0.8803764408
91	0.8798825337
92	0.8795610765
93	0.8786880356
94	0.8781421306
95	0.8776935057
96	0.8768038587
97	0.8765287328
98	0.8760030872
99	0.8755152035
100	0.8750299645
101	0.8745155082
102	0.8742027068
103	0.8738619531
104	0.8733583291
105	0.8727964571
106	0.8724472436
107	0.8722194945
108	0.8721895593
109	0.872042793
110	0.8714026766
111	0.8712151465
112	0.8709282653
113	0.8707186002
114	0.8704499177
115	0.8697197274
116	0.8693741513
117	0.8691763676
118	0.8688980614
119	0.8683387496
120	0.8680673597
121	0.8679657195
122	0.8674907636
123	0.866932064
124	0.8664382736
125	0.8664088971
126	0.8663851343
127	0.8660655604
128	0.8657988071
129	0.8656022292
130	0.8654502722
131	0.8651200996
132	0.8647303839
133	0.8641720362
134	0.8640721958
135	0.8637581795
136	0.8635795886
137	0.8635601493
138	0.8633558821
139	0.8630075658
140	0.8627056284
141	0.8623612623
142	0.8621603766
143	0.8617663683
144	0.8613148139
145	0.8609924611
146	0.8606999675
147	0.8605432283
148	0.8605209872
149	0.8601971304
150	0.8601769676
151	0.8599710146
152	0.8595532664
153	0.8592223783
154	0.8590312094
155	0.8587921018
156	0.8585008091
157	0.8579996523
158	0.8578345884
159	0.8574270969
160	0.8572830856
161	0.8570570613
162	0.8566958386
163	0.8566762744
164	0.8563995493
165	0.8558982886
166	0.8555881306
167	0.8555712375
168	0.8552378703
169	0.8549243467
170	0.8544885196
171	0.8541913175
172	0.8539962604
173	0.8538316751
174	0.8535881768
175	0.8532662271
176	0.8532511203
177	0.8532166519
178	0.8529469127
179	0.8529285863
180	0.8526605471
181	0.8522985083
182	0.8519393796
183	0.8515201091
184	0.8511846494
185	0.8510227858
186	0.850979341
187	0.8505917358
188	0.8503574445
189	0.8500652821
190	0.8498855513
191	0.8498718167
192	0.8496243403
193	0.8495576003
194	0.8490192689
195	0.8487245411
196	0.8486111143
197	0.8482475912
198	0.8479982135
199	0.8477798564
