iter	Passed	Remaining
0	58	11736
1	60	5964
2	61	4032
3	62	3063
4	63	2483
5	65	2105
6	66	1830
7	67	1620
8	68	1457
9	69	1326
10	70	1219
11	72	1130
12	73	1053
13	74	986
14	75	930
15	76	879
16	77	834
17	78	795
18	80	763
19	81	733
20	82	703
21	83	675
22	84	650
23	85	627
24	86	605
25	87	586
26	88	569
27	90	553
28	91	536
29	91	521
30	93	507
31	94	493
32	95	481
33	96	470
34	97	459
35	98	448
36	99	437
37	100	427
38	101	418
39	102	409
40	103	400
41	104	392
42	105	385
43	106	378
44	107	371
45	108	364
46	109	357
47	110	350
48	111	344
49	112	338
50	113	332
51	114	326
52	115	321
53	116	315
54	117	310
55	118	305
56	119	300
57	120	296
58	121	291
59	123	287
60	124	282
61	125	278
62	126	274
63	127	269
64	128	265
65	129	262
66	130	258
67	131	254
68	132	250
69	133	247
70	134	243
71	135	240
72	136	237
73	137	234
74	138	231
75	139	228
76	140	224
77	141	221
78	142	218
79	143	215
80	144	212
81	145	209
82	146	206
83	147	204
84	148	201
85	149	198
86	150	195
87	151	193
88	152	190
89	153	187
90	154	185
91	155	183
92	156	180
93	157	178
94	159	175
95	160	173
96	161	171
97	162	169
98	163	167
99	164	164
100	165	162
101	166	160
102	167	158
103	168	155
104	169	153
105	171	151
106	172	149
107	173	147
108	174	145
109	175	143
110	176	141
111	177	139
112	178	137
113	179	135
114	180	133
115	181	131
116	183	129
117	184	127
118	185	126
119	187	124
120	188	123
121	189	121
122	190	119
123	191	117
124	192	115
125	193	113
126	194	112
127	196	110
128	197	108
129	198	107
130	199	105
131	200	103
132	201	101
133	203	99
134	203	98
135	204	96
136	206	94
137	207	93
138	208	91
139	209	89
140	210	87
141	211	86
142	212	84
143	213	83
144	214	81
145	215	79
146	216	78
147	217	76
148	218	74
149	219	73
150	220	71
151	221	70
152	222	68
153	223	66
154	224	65
155	225	63
156	227	62
157	228	60
158	229	59
159	230	57
160	231	56
161	232	54
162	233	52
163	234	51
164	235	49
165	236	48
166	237	46
167	238	45
168	239	43
169	240	42
170	241	40
171	242	39
172	244	38
173	245	36
174	246	35
175	247	33
176	247	32
177	248	30
178	249	29
179	250	27
180	252	26
181	253	25
182	254	23
183	255	22
184	256	20
185	257	19
186	258	17
187	259	16
188	260	15
189	261	13
190	262	12
191	263	10
192	264	9
193	265	8
194	266	6
195	267	5
196	268	4
197	269	2
198	270	1
199	271	0
