age,minutes_played,goals_per90,assists_per90,position,last_season,country_of_citizenship,market_value_in_eur,target_log,league_rank
40.0,2989.0,0.0301104048176647,0.0,Defender,2012,Denmark,50000,10.819798284210286,10
40.0,12858.0,0.0,0.0209986000933271,Goalkeeper,2018,Germany,500000,13.122365377402328,4
40.0,2837.0,0.0,0.0,Goalkeeper,2022,Switzerland,100000,11.51293546492023,1
40.0,8938.0,0.0402774669948534,0.1006936674871335,Defender,2016,Germany,100000,11.51293546492023,4
40.0,834.0,0.3237410071942446,0.4316546762589928,Attack,2013,DR Congo,300000,12.611541086966117,11
39.0,17645.0,0.4182487956928308,0.3009351090960612,Attack,2017,England,2000000,14.508658238524095,1
39.0,25820.0,0.1324554608830364,0.2405112316034081,Midfield,2024,England,1000000,13.815511557963774,1
39.0,989.0,0.2730030333670374,0.3640040444893832,Midfield,2017,Germany,200000,12.206077645517674,8
40.0,7830.0,0.0,0.0,Goalkeeper,2017,England,150000,11.918397239722838,9
40.0,5934.0,0.0910010111223457,0.1061678463094034,Defender,2015,England,1500000,14.220976332738882,1
40.0,270.0,0.0,0.3333333333333333,Goalkeeper,2015,England,250000,12.429220196836384,11
40.0,3443.0,0.0,0.0,Defender,2018,England,300000,12.611541086966117,11
39.0,630.0,0.0,0.0,Goalkeeper,2013,Argentina,600000,13.304686600863562,1
40.0,1849.0,0.1460248783126014,0.0486749594375338,Defender,2016,Scotland,400000,12.899222326086994,11
40.0,7603.0,0.0591871629619886,0.0828620281467841,Defender,2018,England,250000,12.429220196836384,11
39.0,1066.0,0.2532833020637898,0.1688555347091932,Attack,2013,England,700000,13.45883704259595,8
40.0,1286.0,0.0,0.0,Midfield,2012,Ireland,100000,11.51293546492023,11
40.0,258.0,0.0,0.0,Defender,2014,Germany,50000,10.819798284210286,4
40.0,1367.0,0.1316752011704462,0.1975128017556693,Attack,2015,France,250000,12.429220196836384,11
40.0,6301.0,0.2999523885097603,0.1428344707189335,Attack,2016,France,250000,12.429220196836384,9
40.0,3195.0,0.0,0.0,Goalkeeper,2017,Australia,250000,12.429220196836384,1
40.0,9553.0,0.2355281063540249,0.2166858578457029,Midfield,2015,Brazil,300000,12.611541086966117,8
40.0,4644.0,0.0387596899224806,0.0193798449612403,Defender,2016,Switzerland,300000,12.611541086966117,11
40.0,10113.0,0.0088994363690299,0.0177988727380599,Defender,2018,Netherlands,200000,12.206077645517674,6
